feature,coefficient,p_value,abs_coefficient,bucket
time_at_location_2_m7:C(sex)[Male]:C(age_binary)[young],-0.8537,0.003,0.8537,sociability
steps_most_active_10h_m14:C(sex)[Male]:C(age_binary)[old],-0.8533,0.01,0.8533,activity
time_at_location_3_m14:C(sex)[Male]:C(age_binary)[young],-0.8527,0.007,0.8527,sociability
num_location_clusters_s14:C(sex)[Male]:C(age_binary)[old],-0.8475,0.018,0.8475,sociability
sleep_start_s7:C(sex)[Female]:C(age_binary)[young],0.8441,0.0,0.8441,sleep
sleep_routine_index_m7:C(sex)[Female]:C(age_binary)[old],-0.8391,0.0,0.8391,sleep
chronotype_score_s14:C(sex)[Male]:C(age_binary)[old],-0.8244,0.012,0.8244,sleep
time_at_location_4_s14:C(sex)[Male]:C(age_binary)[young],-0.824,0.015,0.824,sociability
time_at_location_4_m7:C(sex)[Male]:C(age_binary)[young],-0.8228,0.011,0.8228,sociability
chronotype_score_s7:C(sex)[Male]:C(age_binary)[young],-0.8183,0.007,0.8183,sleep
sleep_start_s14:C(sex)[Female]:C(age_binary)[young],0.8178,0.003,0.8178,sleep
chronotype_score_m14:C(sex)[Female]:C(age_binary)[old],0.8146,0.0,0.8146,sleep
total_activity_duration_s14:C(sex)[Male]:C(age_binary)[young],-0.8146,0.009,0.8146,activity
ec_DeviceDisplayStatus_m14:C(sex)[Male]:C(age_binary)[young],-0.8128,0.0,0.8128,device_usage
time_at_location_2_m14:C(sex)[Female]:C(age_binary)[old],-0.8122,0.0,0.8122,sociability
time_at_location_5_s7:C(sex)[Male]:C(age_binary)[young],-0.8099,0.045,0.8099,sociability
chronotype_score_m7:C(sex)[Female]:C(age_binary)[old],0.8038,0.0,0.8038,sleep
walking_rate_m14:C(sex)[Male]:C(age_binary)[old],-0.8038,0.001,0.8038,activity
time_at_location_2_s14:C(sex)[Male]:C(age_binary)[old],-0.8034,0.045,0.8034,sociability
activity_percent_s7:C(sex)[Male]:C(age_binary)[old],-0.8015,0.018,0.8015,activity
active_time_s7:C(sex)[Male]:C(age_binary)[old],-0.8015,0.018,0.8015,activity
time_at_home_m7:C(sex)[Female]:C(age_binary)[young],0.8005,0.0,0.8005,sociability
sleep_routine_index_s14:C(sex)[Female]:C(age_binary)[young],0.8003,0.0,0.8003,sleep
time_at_location_5_m14:C(sex)[Male]:C(age_binary)[young],-0.7963,0.026,0.7963,sociability
display_events_m14:C(sex)[Male]:C(age_binary)[young],-0.7941,0.002,0.7941,device_usage
sleep_start_m14:C(sex)[Female]:C(age_binary)[young],0.7839,0.003,0.7839,sleep
display_events_m7:C(sex)[Male]:C(age_binary)[young],-0.783,0.003,0.783,device_usage
sleep_routine_index_m7:C(sex)[Female]:C(age_binary)[young],-0.7827,0.0,0.7827,sleep
ec_PedometerData_s14:C(sex)[Male]:C(age_binary)[young],-0.7818,0.0,0.7818,activity
loc_entropy_s7:C(sex)[Male]:C(age_binary)[young],-0.7741,0.007,0.7741,sociability
sleep_routine_index_m14:C(sex)[Female]:C(age_binary)[old],-0.7726,0.0,0.7726,sleep
sleep_routine_index_s7:C(sex)[Female]:C(age_binary)[young],0.7717,0.0,0.7717,sleep
chronotype_score_s7:C(sex)[Female]:C(age_binary)[young],0.7708,0.0,0.7708,sleep
steps_most_active_10h_m7:C(sex)[Male]:C(age_binary)[old],-0.7694,0.01,0.7694,activity
time_at_location_3_m7:C(sex)[Male]:C(age_binary)[young],-0.7647,0.015,0.7647,sociability
total_activity_duration_s7:C(sex)[Male]:C(age_binary)[young],-0.7602,0.015,0.7602,activity
total_location_duration_s7:C(sex)[Male]:C(age_binary)[young],-0.76,0.024,0.76,sociability
num_location_clusters_m14:C(sex)[Female]:C(age_binary)[old],-0.7593,0.0,0.7593,sociability
time_at_location_2_s7:C(sex)[Female]:C(age_binary)[old],-0.7538,0.0,0.7538,sociability
num_location_clusters_s14:C(sex)[Female]:C(age_binary)[old],-0.7447,0.0,0.7447,sociability
loc_entropy_m14:C(sex)[Male]:C(age_binary)[young],-0.7421,0.004,0.7421,sociability
sleep_start_m14:C(sex)[Female]:C(age_binary)[old],0.7311,0.01,0.7311,sleep
ec_PedometerData_s7:C(sex)[Male]:C(age_binary)[young],-0.7287,0.001,0.7287,activity
time_at_home_s14:C(sex)[Male]:C(age_binary)[young],-0.7251,0.003,0.7251,sociability
time_at_location_3_s14:C(sex)[Male]:C(age_binary)[young],-0.7243,0.019,0.7243,sociability
sleep_routine_index_m14:C(sex)[Female]:C(age_binary)[young],-0.7178,0.0,0.7178,sleep
total_display_duration_m7:C(sex)[Female]:C(age_binary)[young],0.7022,0.0,0.7022,device_usage
time_at_home_s14:C(sex)[Female]:C(age_binary)[old],-0.7011,0.0,0.7011,sociability
walking_rate_m7:C(sex)[Male]:C(age_binary)[old],-0.6996,0.002,0.6996,activity
step_count_s14:C(sex)[Male]:C(age_binary)[young],-0.6949,0.002,0.6949,activity
num_location_clusters_m7:C(sex)[Female]:C(age_binary)[old],-0.6924,0.0,0.6924,sociability
active_time_s14:C(sex)[Male]:C(age_binary)[young],-0.6893,0.001,0.6893,activity
activity_percent_s14:C(sex)[Male]:C(age_binary)[young],-0.6893,0.001,0.6893,activity
steps_most_active_10h_s7:C(sex)[Male]:C(age_binary)[young],-0.6846,0.003,0.6846,activity
time_at_location_2_s7:C(sex)[Male]:C(age_binary)[young],-0.6816,0.029,0.6816,sociability
loc_entropy_m7:C(sex)[Male]:C(age_binary)[young],-0.6805,0.01,0.6805,sociability
time_at_location_2_s14:C(sex)[Female]:C(age_binary)[old],-0.6748,0.0,0.6748,sociability
time_at_location_4_m7:C(sex)[Female]:C(age_binary)[old],-0.6737,0.004,0.6737,sociability
total_display_duration_m14:C(sex)[Female]:C(age_binary)[young],0.6715,0.0,0.6715,device_usage
time_at_location_4_s7:C(sex)[Female]:C(age_binary)[old],-0.6698,0.001,0.6698,sociability
sleep_start_m7:C(sex)[Female]:C(age_binary)[old],0.665,0.003,0.665,sleep
sleep_start_m7:C(sex)[Female]:C(age_binary)[young],0.6639,0.002,0.6639,sleep
sleep_start_s14:C(sex)[Female]:C(age_binary)[old],0.6598,0.032,0.6598,sleep
steps_least_active_5h_s7:C(sex)[Male]:C(age_binary)[young],-0.6467,0.02,0.6467,activity
time_at_location_1_s7:C(sex)[Male]:C(age_binary)[young],-0.646,0.017,0.646,sociability
travel_diameter_s7:C(sex)[Male]:C(age_binary)[young],-0.6415,0.0,0.6415,sociability
time_at_location_1_s14:C(sex)[Male]:C(age_binary)[old],-0.6405,0.049,0.6405,sociability
loc_entropy_m14:C(sex)[Female]:C(age_binary)[old],-0.6324,0.001,0.6324,sociability
loc_entropy_s7:C(sex)[Female]:C(age_binary)[old],-0.6226,0.001,0.6226,sociability
chronotype_score_s14:C(sex)[Male]:C(age_binary)[young],-0.6192,0.027,0.6192,sleep
time_at_location_4_s14:C(sex)[Female]:C(age_binary)[old],-0.613,0.007,0.613,sociability
time_at_location_2_m7:C(sex)[Female]:C(age_binary)[old],-0.6104,0.001,0.6104,sociability
step_count_s7:C(sex)[Male]:C(age_binary)[young],-0.6066,0.005,0.6066,activity
time_at_location_4_m14:C(sex)[Female]:C(age_binary)[old],-0.6051,0.011,0.6051,sociability
activity_percent_s7:C(sex)[Male]:C(age_binary)[young],-0.6038,0.004,0.6038,activity
active_time_s7:C(sex)[Male]:C(age_binary)[young],-0.6038,0.004,0.6038,activity
time_at_location_3_m7:C(sex)[Female]:C(age_binary)[old],-0.6019,0.004,0.6019,sociability
time_at_location_5_m7:C(sex)[Female]:C(age_binary)[old],-0.5949,0.015,0.5949,sociability
time_at_location_3_m14:C(sex)[Female]:C(age_binary)[old],-0.5917,0.007,0.5917,sociability
loc_entropy_m7:C(sex)[Female]:C(age_binary)[old],-0.591,0.002,0.591,sociability
ec_PedometerData_m7:C(sex)[Male]:C(age_binary)[young],-0.5884,0.003,0.5884,activity
ec_PedometerData_m14:C(sex)[Male]:C(age_binary)[young],-0.5878,0.002,0.5878,activity
chronotype_score_s14:C(sex)[Female]:C(age_binary)[young],0.5804,0.001,0.5804,sleep
time_at_location_5_m14:C(sex)[Female]:C(age_binary)[old],-0.5718,0.026,0.5718,sociability
loc_entropy_s14:C(sex)[Male]:C(age_binary)[young],-0.5613,0.046,0.5613,sociability
sleep_duration_m7:C(sex)[Male]:C(age_binary)[old],-0.5598,0.04,0.5598,sleep
step_count_m14:C(sex)[Female]:C(age_binary)[young],0.5407,0.002,0.5407,activity
total_display_duration_s7:C(sex)[Female]:C(age_binary)[old],-0.5254,0.007,0.5254,device_usage
steps_relative_amplitude_s14:C(sex)[Male]:C(age_binary)[young],-0.517,0.026,0.517,activity
total_display_duration_m14:C(sex)[Male]:C(age_binary)[old],-0.5123,0.011,0.5123,device_usage
time_at_location_5_s7:C(sex)[Female]:C(age_binary)[old],-0.511,0.025,0.511,sociability
time_at_home_m14:C(sex)[Female]:C(age_binary)[old],0.5099,0.001,0.5099,sociability
step_count_m7:C(sex)[Female]:C(age_binary)[young],0.5067,0.003,0.5067,activity
total_display_duration_m7:C(sex)[Male]:C(age_binary)[old],-0.504,0.015,0.504,device_usage
total_activity_duration_s7:C(sex)[Female]:C(age_binary)[old],-0.4882,0.013,0.4882,activity
time_at_home_m14:C(sex)[Male]:C(age_binary)[young],0.4858,0.022,0.4858,sociability
time_at_home_s7:C(sex)[Female]:C(age_binary)[old],-0.4851,0.004,0.4851,sociability
time_at_location_5_s14:C(sex)[Female]:C(age_binary)[old],-0.4823,0.049,0.4823,sociability
steps_most_active_10h_m14:C(sex)[Male]:C(age_binary)[young],-0.4814,0.02,0.4814,activity
active_time_m14:C(sex)[Female]:C(age_binary)[young],0.4803,0.004,0.4803,activity
activity_percent_m14:C(sex)[Female]:C(age_binary)[young],0.4803,0.004,0.4803,activity
activity_percent_s7:C(sex)[Female]:C(age_binary)[young],0.4794,0.003,0.4794,activity
active_time_s7:C(sex)[Female]:C(age_binary)[young],0.4794,0.003,0.4794,activity
chronotype_score_m14:C(sex)[Male]:C(age_binary)[young],0.4711,0.008,0.4711,sleep
steps_most_active_10h_m7:C(sex)[Male]:C(age_binary)[young],-0.4686,0.019,0.4686,activity
time_at_location_1_m14:C(sex)[Male]:C(age_binary)[old],-0.4648,0.015,0.4648,sociability
total_activity_duration_s14:C(sex)[Female]:C(age_binary)[old],-0.4612,0.014,0.4612,activity
time_at_location_1_m7:C(sex)[Female]:C(age_binary)[young],0.4608,0.001,0.4608,sociability
steps_relative_amplitude_s14:C(sex)[Female]:C(age_binary)[young],0.4552,0.004,0.4552,activity
loc_entropy_s14:C(sex)[Female]:C(age_binary)[old],-0.4471,0.013,0.4471,sociability
total_location_duration_m7:C(sex)[Female]:C(age_binary)[young],0.4468,0.0,0.4468,sociability
ec_DeviceDisplayStatus_m14:C(sex)[Female]:C(age_binary)[old],0.4462,0.048,0.4462,device_usage
steps_most_active_10h_m14:C(sex)[Female]:C(age_binary)[young],0.445,0.005,0.445,activity
steps_most_active_10h_s14:C(sex)[Female]:C(age_binary)[young],0.4416,0.007,0.4416,activity
step_count_s7:C(sex)[Female]:C(age_binary)[young],0.4341,0.01,0.4341,activity
steps_least_active_5h_m14:C(sex)[Male]:C(age_binary)[young],-0.4272,0.033,0.4272,activity
activity_percent_m7:C(sex)[Female]:C(age_binary)[young],0.4266,0.008,0.4266,activity
active_time_m7:C(sex)[Female]:C(age_binary)[young],0.4266,0.008,0.4266,activity
steps_least_active_5h_m7:C(sex)[Male]:C(age_binary)[young],-0.4233,0.029,0.4233,activity
steps_most_active_10h_m7:C(sex)[Female]:C(age_binary)[young],0.4201,0.006,0.4201,activity
chronotype_score_m7:C(sex)[Male]:C(age_binary)[young],0.4172,0.012,0.4172,sleep
walking_rate_m14:C(sex)[Male]:C(age_binary)[young],-0.4167,0.016,0.4167,activity
walking_rate_m7:C(sex)[Male]:C(age_binary)[young],-0.4152,0.013,0.4152,activity
total_display_duration_s14:C(sex)[Female]:C(age_binary)[old],-0.4141,0.027,0.4141,device_usage
total_location_duration_m14:C(sex)[Female]:C(age_binary)[young],0.4122,0.001,0.4122,sociability
